english,chinese
"This is so that I can create a Web site made for 1024px wide, but still have space to decide what is going to happen outside the viewable area so that it degrades nicely even on larger screens.",这个文档可以用于宽为1024px的站点，仍然还有空间去决定在可视区域之外如何布置，这样在更大屏幕下也很好的适应。
A: We wish to have an agent to push our products in Australia.,我们希望在澳大利亚能有一个代理来推动我们的产品销售。
It would be most unwise to minimize the dangers of this course of action.,不认真对待这次行动过程中的危险是极不明智的。
"In the epizootic regions, all animal products (blood, meat and milk) should be thoroughly cooked before eating.",在动物疫病流行地区，所有动物产品（血、肉和奶）都应完全煮熟后再食用。
"Substances in the marijuana plant mimic natural compounds in the brain called cannabinoids, which activate certain receptors on neurons and regulate neural signal transmission.",大麻含有一些化合物可模拟大脑里天然的大麻素（cannabinoid），活化神经元上的特定受体，并调节神经讯号的传递。
"""With the development of a sexual color scheme, you don't need the pheromone sensitivity to sense whether a female monkey is ready to mate, "" Zhang said.",张教授说：“随着性颜色系统的发展，雄猴子并不需要信息素的敏感性去感知雌猴子是否可以交配。
"Having become friends over the years, the guard asked him, ""Charlie, I've seen you walk out of here every night for twenty years. I know you've been stealing something.",他们做了好多年的朋友，警卫问他说，“查理，我看见你每天晚上从这里出去，有二十年了，我知道你一直在偷东西，现在你也退休了，告诉我吧，你到底偷了什么，我快被这件事搞疯了。”
"But, if the court to the arbitration carries on the depth intervention, the arbitration would lose its autonomy and contractual advantages, and thus become a vassal of the Court.",但是，如果法院对仲裁进行深度干预，又会使仲裁失掉其自治性和契约性的优势，从而沦为法院的附庸。
"His wife, Marge, made sandwiches and coffee and kept me talking about growing up in New York.",他的妻子玛吉做三明治，煮咖啡，一面要我讲从小怎么在纽约长大的。
The extraction of contour lines from Grid DEM is a primary function in computer-aided cartography ad GIS.,从规则高程格网中自动提取等高线是地理信息系统以及计算机制图的基本功能。
"In the Miao, Tujia ethnic minority-based aggregation County, the ancient city of Phoenix Water town with its unique classical gray attracted waves of foreign tourists.",在这个以苗族、土家族为主的少数民族聚集县，凤凰古城以其独有的水乡小镇的古典灰吸引了一批又一批的中外游客。
"Blue State Digital has opened a London office to expand operations, and VAN has been fielding many calls from overseas.",蓝州数码公司(Blue State Digital)已开设了伦敦办事处来扩大其业务；选民动员网络公司对许多国外打来的电话应接不暇。
"The palaeoclimate with self characteristics in this area is the same as that in the adjacent areas, which belong to the northwestern edge of eastern monsoon.",该区的古气候演化与同处于我国东部季风西北边缘的相邻地区有一定的可比性，也具有自身的区域特色。
Originality in handwriting-how far the writer derivates from copybook script-indicates confidence and artistic ability.,无论他们的笔迹与字帖相差多大，写的字有所创新表明这个人很有自信和较高的审美能力。
Module five – Always seem a tiny bit stoned,第五课——看上去总是有些神志恍惚
"The foreign girl: Yes, I see. Please don't say me again. Just let it be! I will look around here and you can go back to hotel first. (She drags her parents off the stage slowly. )",外国女孩：我知道了。你们不用再嘱咐我了。这样吧！我在这周围看看，你们先回宾馆。（拖父母慢慢下场）
"A semilattice can be defined as a universal algebra, and it can also be defined as a partial ordered set.",一个半格可以定义为一个泛代数，也可以定义为一个偏序集。
"An NTC official had earlier told Reuters news agency that Col Gaddafi would be buried in a ""simple"" ceremony with ""sheikhs attending"" on Tuesday.",一位全国过渡委员会的官员告诉路透社，卡扎菲上校将于周四在有“部落尊长参加”的一次“简单”仪式中被下葬。
"To sum up , the symptom of clubroot disease in rape is similar to it in cruciferae.",其症状与十字花科蔬菜根肿病症状相似。
"He is a graduate of the University of Colorado Medical School, and he finished his post graduate education at Mercy Hospital in San Diego, California.",他是科罗拉多大学医学院毕业，他完成了他的研究生教育，慈善医院在加利福尼亚州圣迭戈。
"Many enterprises of Shanghai go on a ""gold-rush"" spree in the western parts of China.",很多上海一起涌向西部，掀起了去西部的淘金热。
"But wee-mail and fax a lot, too.",但是，我们也通过电子邮件和传真来联系业务。
"This machine is suitable for straightening and cutting on steel wire, iron wire, stainless steel wire and other metal wire (round, square, flat wire, etc. ).",本机适用于钢线、铁线、不锈钢线等各种金属线材（圆、方、扁线等）的调直和切断。
"These are individual health check-up sessions that will be provided to Intel Dalian employees, as well as to members from other employers.",这是英特尔员工自行选择任何日期参加的体检服务，您将和其他单位的员工一起参加体检。
"L- Isoleucine is a neutral, genetically coded amino acid that is isomeric with leucine. It is essential in human nutrition.",异亮氨酸是一种中性必需氨基酸，是亮氨酸的同分异构体。
Now down here I can use that other piece of syntax we just saw.,"到这里，我可以使用我们刚才看到的,其它的语法。"
Which John Smith does Graham Turner think he is talking to?,格雷厄姆·特纳以为他在和哪一个约翰·史密斯通话？
"For example, if the row width is decreased, the error glyph disappears first, then the standard glyph, then text.",例如，如果行宽减小，错误标志符号将首先消失，然后标准标志符号消失，最后文本消失。
"For example, the main index of the Shanghai stock market has surged more than 80% this year, while Indonesian stocks are up 57%.",例如今年以来上海沪指猛增80%，印尼股市的市值增幅也达到57%。
Chapter four mainly describes the activity of the incense societal organization in the daily life in the village.,第四章主要是描述香社组织与村落日常生活的活动。
"In nearly 40% of cases of insecticide-related illness, extermination was attempted by consumers who weren't certified to use pesticides.",在杀虫剂相关病例中，将近40%的消费者不确定是否应该用杀虫剂而想要根除害虫。
"Male perceives attractant sex pheromones through Haller's organ, and in the later stage of mating behavior, palpal receptor is the main receptor.",哈氏器是吸引性信息素的主要感觉器官，须肢感器是后期生殖行为中的主要感觉器官。 摘要。
"On your second question, I think you're too pessimistic. We should be optimistic about it.",关于你的第二个问题，我认为你太悲观了，我们还是应持乐观态度。
"He looks down from his new height and thinks that to the insects unseen in the grass he would be, if they had a consciousness like his, God.",艾哈迈德又长高了，他低头俯看，心想要是草里的虫子也同样相信神灵，也许会将他视为真主吧。
"Get through theory calculation and testing, it has proved that air reverse circulation can be satisfied constructional claims of over thousand meters deep water well, with existing equipments.",本文通过理论计算及实验，证实了使用现有设备，气举反循环可以更好的满足超千米深水井的施工要求。
"To the east is found the Irish Sea which reconnects to the ocean via the southwest with St. George""s Channel and the Celtic Sea.",东部为连接西南的圣乔治海峡和塞尔特海的爱尔兰海。
This village in the Hooghly District preserved during the last century the idyllic simplicity of the rural areas of Bengal.,这是位于孟加拉胡格利河地区的村庄，上个世纪仍然保存着田园诗般的纯朴乡村风味。
Every ass likes to hear himself bray.,每头驴子都爱听自己嘶叫；马不知脸长。
Correctly evaluating the procyclicality effect of an internal model of a bank can help the supervision agency to examine the model.,正确评估内部模型的顺周期效应有助于监管机构审查银行的内部模型。
Objective : To investigate the mental health state of chronic alcohol intoxication patients.,目的：了解我国慢性酒精中毒者的心理健康状况。
"As the last rays of daylight dwindled and disappeared, absolute blackness settled down on treasure island .",在白昼的最后光芒减退、终至消失之后，宝岛陷入了一片漆黑之中。
The course change of Xijiang River and the formation of Lingyang Gorge are related to the neo-tectonic movements since Quaternary Period.,西江改道和羚羊峡的形成，是与第四纪以来新构造运动的作用有关。
The anti-collision algorithm is the key technology of RFID system.,防碰撞算法是RFID系统中的关键技术。
"Those deals are also pretty good for the entrepreneurs in-question, bringing them a job at one of the hottest tech companies as well as valuable Facebook stock.",这些交易对企业家有好处，比如，在最热门的高科技公司给他们带来一份工作，同时可持有很多有价值的Facebook股票。
"But there's more to it: It's Mercedes' latest exercise in aerodynamics, and with a coefficient of drag of just . 19, it's the German automaker's slipperiest silhouette yet.",但它并没有这么简单：这是梅赛德斯在空气动力学领域的最新尝试，其阻力系数仅有.19，是梅赛德斯车体轮廓最流畅的一款汽车。
Conclusions:Differin gel used in combination with dalacin T is more effective compared with dalacin T alone in the treatment of acne vulgaris.,结论：达芙文联合特丽仙治疗中至重度寻常痤疮的疗效比单用特丽仙的效果好。
"This article mainly studies three aspects which are the structure design of space-borne TR module, heat control and anti-irradiation technology.",本文主要研究了星载TR组件结构设计，热控技术和抗辐照技术三个方面的内容。
I was so surprised because the regular vaccines usually cost at least $20 and you have to book an appointment with a primary physician or go to the department of health.,我很奇怪，因为普通的疫苗通常至少价值20美元，你得与主治医生约定好或者去卫生部才可（买到）。
The rapid development of the tea industry brought huge economic benefits to Pu'er.,茶叶产业的迅速发展，为普洱带来了丰厚的经济利益。
"However, the LORD your God would not listen to Balaam but turned the curse into a blessing for you, because the LORD your God loves you.",然而耶和华你的神不肯听从巴兰，却使那咒诅的言语变为祝福的话，因为耶和华你的神爱你。
That was someone from church asking if they could interview the children.,刚刚是教堂的人问他们能不能走访我们的孩子。
"The inner flow field of modified Perspex impeller of a centrifugal pump was measured by advanced PIV system, and the absolute speed vectorgraph and original data of the axial eddy were acquired.",采用先进的粒子图像测速（PIV）系统对普通叶轮改型设计后的有机玻璃叶轮内部流场进行无接触测量，获得轴向旋涡流绝对速度矢量图及原始数据。
The design fully consider the first regular cycle of centrifugal pumps oil conditions and the use of the design requirements of the pump design the structure.,本设计充实思量了常一线油船回离心油泵的设计条件和使用要求，对泵的结构进行设计。
The witness affirmed to the facts.,证人证明这些确是事实。
Her husband was admitted to hospital last week as his condition deteriorated.,她的丈夫因为病情恶化，上周入院接受治疗。
"Operated by a computer, the model is consisted of three sub-models that are (1)trip generation and trip attraction, (2)trip distribution, and (3)traffic assignment.",它包括公交出行产生与吸引、公交山行分布和公交线路分配等3个子模型。
"The brain's neurons are small, convoluted and very densely packed.",大脑的神经细胞微小、复杂其包裹得非常浓密。
The test results indicate that all the technical indices have met the requirements for high class products specified in the building materials industry standard《Concrete Tiles》.,结果表明，各项技术指标均达到建材行业标准《混凝土瓦》优等品的要求。
"The airline will be launching a frequent flyer programme soon and Kathleen Tan, regional head of commercial, is quick to add to that “to us, it will be a business unit to earn ancillary revenues”.",亚航将在近期推出常旅客计划，商务副总裁Kathleen Tan补充道“对于我们而言，这将是一个赚取辅助收入的业务部门。
"These old ghost towns can give you a  scary feeling, with the buildings falling apart and the only sound is the moaning of the wind blowing through the  deserted streets.","这人说：""被遗弃的城镇真让你感到害怕。 那里的房子东倒西歪，唯一能听到的声音就是在那没有人的街道上风吹的呜呜响声。"""
The registered capital shall be the paid-in capital.,注册资本应当是实缴资本。
"Well it has to do with our distance from food, our psychological and physical distance from food, and the fact that we don't appreciate it as much as we do because it's everywhere all the time and we've been trained to eat outside of the normal meal times.","我想这和我们与食物之间的距离有关,包括与食物之间的心理距离和身体上距离,事实上,我们没有给予食物足够的重视,因为食物随手可得,无处不在,而且我们都习惯在非用餐时间吃东西"
Click on the yellow down arrow associated with the inline map.,在与内联映射关联的黄色向下箭头 上单击鼠标。
The germinating ability is an important target for judging the quality of seeds.,种子的发芽力是判断种子质量的重要指标。
"A year ago, at a get-together of a dozen girlfriends from college, I saw my old friend, Therese Gibson.",一年前，在十二位女大学生举行的一次聚会上，我看到了我的老朋友，特里萨·吉布森。
"Four: My head was full of the wonderful things that I could do in my life, as I looked, unseeing, at the sea.",我视而不见地望着大海，脑袋里全是我想像的、我这一辈子可能干的美妙的事儿。
We can jump and we can run. So we're having lots of fun.,我们能跳，我们能跑。因此我们正有许多开心。
This Removable Screen is made of pear wood in a mellow color of tawny and slight red.,插屏以黄花梨制成，色泽黄褐，微泛红。
"In recent years, Labor conflicts in non-state owned enterprises in China often appear.",近年来，我国非公有制企业劳资冲突时有发生。
"In later chapters, we'll look at GDI support of bitmaps, metafiles, and formatted text.",在后面的章节中，我们将看到 GDI 对位图，元文件和格式化文本的支持。
"Hu said that during his current visit, he had in-depth exchange of views with Singaporean leaders on how to further develop China-Singapore relations and some major regional and international issues.",胡锦涛说，我此次来访就中新关系的进一步发展和一些重大地区和国际问题与新方领导人深入交换了意见。
"The outstanding Philip memory of that first year, though - certainly the devotional act that convinced me my mother was on to a good thing - was at my seventh birthday party.",回想起那头一年，菲利普真的很棒。 无疑，那种专一的奉献令我深信：我母亲会过得很舒适，尽管是在我的第七个生日宴会上。
"After 216 years, The Times has halved its size to become much smaller. In fact, the paper has cut its size in half from a broadsheet to tabloid.",比如，拥有216年历史的《泰晤士报》把版面缩小一半，实际上是由传统的大版面改为了类似小报的小版面。
"Now, the country that once crawled with spooks has been invaded by tourists.",现在，这个国家再一次被观光者入侵。
The time of movements is from the Indo-Sinian to the Himalayan period.,龙门山中央断裂运动的时代跨越了印支期到喜马拉雅期。
"Abstract : Having gone through a succession of doubts and criticisms, even subversion and deconstruction, Fu Lei's translation works finally became classics.",摘要 傅雷翻译作品并非一帆风顺地成为翻译经典，而是经历了一次又一次的质疑和批评，甚至颠覆和解构；
"By using Gini-coefficient and five-share method to measure, the tendency of our citizen's richness and poorness appears enlarging step by step during the changing process in our country.",用基尼系数和五等份法来衡量，我国转轨进程中的居民贫富差距呈逐步扩大趋势。
The biological invasion has become a matter of concern to the whole world along with the development of globalized economy and the increasing international flows of goods and people.,全球经济一体化逐步发展，国际间人流和物流日益增加， 生物入侵问题已成为人们共同关心的问题。
"With over 90% of votes counted, Viktor Yanukovich, the villain of the 2004 orange revolution, has a lead of more than 3% over Yulia Tymoshenko, the prime minister and the princess of the orange drama.",已经清点了90%多选票，反2004年橙色革命的维克托·亚努科维奇以不到3%的优势略微领先于现任总理兼“橙色戏剧”中的公主尤利娅·季莫申科。
"""My eyes well with tears at the thought of the work they are doing, "" Kazuya Aoki, a safety official at Japan's Nuclear and Industrial Safety Agency, told Reuters.",“一想到他们正在做的工作，我的眼睛就充满泪水” Kazuya Aoki，一位日本核电和工业安全机构的安全官员告诉路透社记者。
"Ltd company of importing Machineries & Equipments for Industry, also a successful business man of exporting of cocoa.",进口机械设备有限公司的设备，工业，也和一个成功的生意人的出口的可可味。
Objective To investigate the mechanism of the action of glucocorticoid induced leucine zipper in inflammatory reaction.,目的探讨糖皮质激素诱导的亮氨酸拉链蛋白在炎症反应过程中的作用机制。
Aim To investigate the effect of Dicranostiga Leptodu (Maxim) Fedde (DLF) on experimental liver injury induced by Calmette Guerin bacillus vaccine (BCG) and Lipopolysaccharide (LPS) in mice.,目的探讨秃疮花提取物（DLF）对卡介苗（BCG）和脂多糖（LPS）诱导的小鼠免疫性肝损伤的影响。
"In this paper, configurations and the functions of the power electrical circuits, the controller, the cryogenic system, and the high-T(subscript c) superconducting cores are introduced.",本文介绍了该限流器的功率电路、控制器、低温容器和高温超导磁体等部分的结构特点和功能。
"I dreamed in an exhibition hall of hotel, it had full-ranged displays of luxury commodities, including high-end Hi-fis , cameras and watches. Participants were all those wealthy roles, except me.",我梦到自己在一家酒店的展厅里，周围是琳琅满目的物品，昂贵的音响、相机、手表包围着我，除了我以外，一切都是那么的华丽。
Claude Makelele has scored his first ever Chelsea goal to give Chelsea the win we all wanted on the day the Barclays Premiership trophy was handed over.,克劳德-马克莱莱破天荒地打进了加盟切尔西后首粒进球，这样蓝军在举起英超联赛冠军奖杯的当天取得了众人期待的胜利。
"Excepts of the foreword and conclusion, this paper includes three parts.",除引言和结论外，本文共分为三部分。
"He's in on the cosmic joke of being a ""high-born dwarf"" and is quick to give practical Westeros wisdom: ""Trust no one.",命运和他开了个残酷的玩笑，让他生在贵族之家却身为侏儒，然而他迅速地以其睿智给出了一个实用的维斯特洛大陆生存法则：“不要相信任何人。
"In Manchester, Mike Masonadvocated fuel cells that use solid-oxide technology.",在曼彻斯特，Mike Mason 倡导过一种使用固态氧化物技术的燃料电池。
"We are just carrying out orders, please understand and cooperate.",我们这是奉令而行，请你理解和配合。
The food selective test of Suncus muriuns and the killing effect of bromadiolone on it were reported in this paper.,作者等在实验室和现场对臭鼩鼱的选食性及溴敌隆毒饵的灭效进行了观察。
Copying notes that contain articulations no longer duplicates the articulation in the Articulation Selection dialog box in the default music font.,抄写音符其不再含有说话的复制在缺省的音乐字体中说话选择对话盒中说话。
The products of ruminant feed and cattle or sheep-derived feed from the enterprises and farms of 7 districts in Shaanxi province were detected by real-time PCR.,实时PCR对陕西省7个地市生产、经营和使用的反刍动物饲料产品和动物源性饲料产品（原料）进行了牛羊源成分检测调查。
"It is a quick dry T-Shirt, won't shrink, won't deform, won't be allergic, light weighted, smooth when you touch it, and can be long keeping.",此排汗T恤质量很好，能快速排出汗水，不易皱，不变形，不缩水，重量轻，触感滑顺，可永久保存。
"""All right, "" says the professor and asks his favorite student to answer.",“好的，”教授要一位得宠的学生回答问题。
Conventional sequence stratigraphy interpreting methods are only using convention seismic and well -logging data.,传统的层序地层学解释方法只是仅仅使用了常规的地震剖面和测井曲线。
"Mike: We'd like to go through the departure formalities, sir.",麦克： 先生，我们办出关手续。
"Lily: I will read a poem by Robert Frost. It's called ""Stopping by Woods on a Snowy Evening.""",莉莉：我要朗读罗伯特·弗罗斯特作的一首诗。它的题目是《雪夜林边小驻》 。
Two sets of algebraically explicit analytical solution are derived for the partial differential equation set describing the one-dimensional unsteady gas-liquid two-phase flow.,对气液两相非定常一元流动的主控制方程找出了两套比较完整的可用的代数显式解析解。
Speak to Aaron and his sons and to all the Israelites and say to them: 'This is what the Lord has commanded,你晓谕亚伦和他儿子并以色列众人说
"Updating the bug report automatically causes e-mail to be sent to interested parties, including Mike, the team member who reported the bug.",更新错误报告会自动导致向相关各方发送电子邮件，包括报告该错误的团队成员 Mike。
"After a joint study of Deep Bay in 1992, a joint study of Mirs Bay began in May 1996.",双方在一九九二年携手合作进行后海湾研究之后，又在一九九六年五月联手进行大鹏湾研究。
One of the main goals for StarCraft II is to keep the game very visually intuitive and readable.,我们其中的一个最主要的目标就是让游戏保持足够的直观性和可读性。
"""The increase of the cigarettes tax alone is about Rp2 trillion to Rp48 trillion, "" the director general said.",这位署长说：“单单是卷烟税的增加额，就达到大约2万亿卢比，使得卷烟税达到48万亿卢比。”
"Shock waves create energetic subatomic particles called cosmic rays, which can tear apart biomolecules and damage DNA beyond repair.",冲击波创造出一种叫做宇宙射线的高能亚原子微粒，这东西会撕裂生物分子并对DNA造成无法修复的损伤。
A traditional Beijing Opera the Story of White Snake which is well received by people tells a story that handed down from Ming Dynasty.,脍炙人口的传统京剧《白蛇传》讲的是传自明朝的故事。
On Sundays he had earned the right to graze in the pasture and rest.,到星期天，它就有权在牧场上啃头草根休息休息了。
MDA techniques enable organizations to construct custom automations for model-to-model and model-to-code transformations.,MDA 技术可以使组织为模型到模型和模型到代码的转换构建自定义自动化。
"My rule of thumb is this: If I could’ve done a better job myself, the logo has to go.",我的经验之谈：如果连我都能做出一个比它更好的LOGO，那么这个LOGO就必须下台了。
"In 2001, RSES introduced its Interactive CD version of the Technical Institute's Training Manuals.",2001年，该学会引进了交互式技术培训指南CD版。
"Hello, Gao Shan. This is my sister, Nancy.",你好，高山。这是我的妹妹。
"“I have enquired on the matter but no-one confirms the allegation of shooting,” he wrote.",“我已经过问此事，但没人可以确认这是一起非法枪杀事件，”他写到。
"Another option is to use frozen fruits, such as grapes and berries, which kids love to eat right out of the freezer.",另一个选择是用一些冷藏的水果，像葡萄、莓果这类，一从冰箱中拿出来孩子们就爱吃的。
The Chinese knot is the Chinese tradition jubilation knot.,中国结是中国传统的喜庆结。
"The Mobile Unit was out in force; men and women ready for combat, wearing full-face helmets, clubs in hand, guns in their holsters.",移动单元是倾巢出动，男性和女性为做好战斗准备，戴全盔，手的俱乐部，在他们的枪套枪。
"The failure to eliminate the production of goods, in order to ensure OEMs, the quality of vehicle assembly plants.",消除生产中的不合格品，从而保证主机厂、整车厂的装配质量。
"Connected with an engineering example, the application of the high- pressure chemical churning pile in the existing construction ground foundation reinforcement was introduced.",本文结合工程实例，阐述了高压旋喷桩在既有建筑地基基础加固中的应用。
Experiments showed that without interfacial prompting the mass transfer coefficient was reduced greatly in the process of HNO_3 strip-extraction by adding three kinds of surfactants.,实验表明，在不加界面激励时，表面活性剂的存在大大降低硝酸反萃的传质系数；
This is Chengtai Trading Company.,这里是正泰贸易公司。
"For them, Chinese characters are formed with many strokes that appear incredibly intricate.",在他们看来，汉字的笔划令人难以置信的错综复杂。
Ghost of a mother- thinnest fantasy of a mother- methinks she might yet have thrown a pitying glance towards her son!,在我看来，一个母亲的幽灵——一个母亲的最淡漠的幻影——也会对她儿子投以怜悯的目光吧！
According to China ’s official website shows from apple， 8GB version of iPhone4 domestic licensed version of the price is 4088 yuan， with black and white two color styles.,根据来自苹果中国的官网显示，8GB版本iPhone4国内行货版本的价格为4088元人民币，提供了黑色和白色两种色彩款式选择。
"In the wind, but also smelled the smell of another unit, and there do not like the taste of the Land.",在风中，还闻到了另一股味道，与田土的味道相似却有别。
"Touchable panels are one of the most basic user interaction devices for embedded devices -- keypads, sensors, and roller wheels also are included in many different devices for various purposes.",可触摸板是用于嵌入式设备的最基本的用户交互设备之一 ― 小键盘、传感器和滚动轮也包含在许多不同设备中以用于不同的用途。
"But London harbours, you know, Shepherd's Bush, places like that.",但是，伦敦拥有，比如牧羊人的丛林，诸如此类的地方。
Glorious gifts await on the lap of the emerald-gowned heiress who sits beneath the softly falling snow on a starry Christmas Eve.,在一个满天星星的圣诞节前夕，雪轻柔地飘落，绚丽的礼物在一位身着祖母绿长裙的女继承人的膝上等待着。
"Scanning electron microscope indicated that adherent cells showed shuttle shape or multiple angle shape, and the multiple apophysis showed irregular shape.",扫描电镜观察，黏附细胞为梭型或多角型表现，并有多个突起呈不规则形状。
Taoism focuses on nature and Confucianism focuses on nurture.,道教关注于自然以及人性，儒家则关注于培养。
Few things could be more impressive than the peace that descents on deserted city streets at week-ends when the thousands that travel to work every day are tucked away in their homes in the country.,（英译汉）周末，这个国家往日拥在路上赶去工作的人都呆在家里，很少有什么能比的过此时城市街道的宁静之美。
PetroChina needs approval from the country’s National Development and Reform Commission and the State Administration of Foreign Exchange for the takeover.,中国石油的收购需要中国国家发改委和国家外汇管理局批准。
"The waste gas containing toluene, benzene or xylene (TBX) for shoemaking industry is commonly treated with activated carbon absorption.",制鞋业产生的含甲苯、苯和二甲苯废气的治理大多采用活性炭吸附法。
"In fact, psychologists use the term “imaginary audience” to describe this heightened state of vigilance that is especially strong during adolescence.",事实上，心理学家使用术语“想像的观众”去描述这个高度警觉的状态，在青少年时期这种状态尤为强烈。
The second chapter discussed the gender roles and sustenance of Feng Yansi's Ci.,第二部分冯词的性别角色与寄托。
"Otherwise, the compiled code can be executed using the lua_pcall() function.",否则，使用 lua_pcall() 函数执行编译后的代码。
"That day, Hall summoned police to a park, saying she had given birth to a stillborn child, Hart said.",哈特说，当天，霍尔在一个公园里告诉警方说她生下了一个死婴。
Then you have a decrease in reactor coolant inventory.,然后，反应堆冷却剂存货会减少。
"If the application has set a timeout for several seconds, it exits in a given amount of time, unlocks the application, then asks you to return later to finish your transaction.",如果应用程序将超时设置为数秒钟，则会在给定时间内退出，取消锁定应用程序，然后要求您稍后返回以完成事务。
"Kaulder: We don't destroy witches anymore, incarcerate them, taken the most powerful witches that walked the Earth and put them in one place.",考尔德：我们不再摧毁巫师，而是监禁他们，我们把这些强大的巫师从现实生活中带走囚禁在一个地方。
Fiorentina sports director Pantaleo Corvino will recall striker Valeri Bojinov from Juventus at the end of this season.,佛罗伦萨体育主管科维诺将在这个赛季结束后从尤文召回博季诺夫。
"One by one the princes fell under his accurate shooting. Even the youngest, who prayed for mercy, was not spared.",七位王子一个个地倒在他那百发百中的箭下，即使那位最小的王子，虽然他请求宽恕，也没能幸免。
"His takeoffs and landings are a mess: sloppy and violent, they invariably leave a heap of trouble and general rubble in his wake.",的臭虫状的太阳眼镜。他起飞和降落也是一团糟：马虎粗暴，总在身后留下一堆的麻烦和乱石。
"In the process to save the nation through industries, Zhang Jian got a deep understanding of the importance of economic legislation.",张謇在从事实业救国过程中对经济立法的重要性有着深刻的认识。
"The draft horses stand six feet tall, the bulls five feet.",马立着有六英尺高，牛为五英尺。
"The pace could be very slow and very far away from normalisation, "" said Seiji Adachi, senior economist at Deutsche Securities in Tokyo.""",步伐可能会非常缓慢，距离标准非常遥远。 东京德意志证券的高级经济学家安达诚司说。
"By the time I got to the end of our block, my legs had turned to stone.",我跑到我们这条街尽头的时候，腿像石头一样又硬又重。
"Four of the anthills were rayed with pesticide yesterday and the rest will be rayed today in hopes of killing the queen in each colony, halting reproduction.",昨天已在四个蚁丘喷上杀虫水，今天会再喷其它蚁丘，希望能够杀死蚁后，使他们无法繁殖。
This article integrates both industry agnostic recommendations and best practices developed in a white paper written to aid a government agency through its SOA journey.,本文把白皮书中提出的建议和最佳实践整合在一起，帮助政府机构和各个行业顺利实现 SOA。
"Bilberry extract is beneficial in the strengthening of red blood cells and capillaries, specifically around the eyes and in the retina.",越桔萃取物是有利的在加强红血球和血丝，具体地在眼睛附近和在视网膜。
"Early in the 1980s, an interest in the Women's Movement clearly shaped some of the subject matter and social and moral outlook of McEwan's fiction.",上世纪八十年代初以来，女性主义运动不仅影响了麦克尤恩作品的主题，同时也影响了他对社会的看法和对道德的见解。
How to make learning and memory of the model possess conditionality;,如何使模型的学习与记忆具有条件性；
Schmidt explained why to NEWSWEEK's Fareed Zakaria in an exclusive interview. Excerpts,施密特在新闻周刊的记者Fareed Zakaria所做的专访中解释了这一决定。
"I'm not sure if I'll be moving back as well, but I'd have to seriously consider it before I made my decision.",我不确定自己是否也会搬回去，但在作决定之前，我会认真地考虑清楚。
The RT20 powertrain is a liquid hydrogen fueled twin-turbo V6. This will provide the power and the noise that driving enthusiasts want and need.,RT20搭载了独一无二的氢燃料双涡轮增压的V6动力系统，这将为那些狂热的爱好者们提供他们渴望的追求的动力和声音快感。
"C. the number of days with some rainfall, but no more than two inches, was higher in 1990 than in 1910",不可能的，既然日数都是1910比较多，加起来不可能1990的日数比较多。
"The script automatically appends the .pcv extension to the program name, and it ignores the possibility of invalid parameters.",脚本自动添加 .pcv 扩展名为程序的名字，而且忽略无效参数的可能性。
The form should now look like Figure 24.,现在，形式应与图 24 类似。
She immediately came to me to admit her mistake.,她立刻到我这里来，并承认了她的错误。
He argues well.,他很善辩。
"Emma from UK would also have to agree, noting that her husband prefers her most when she’s wearing jeans, a t-shirt and no makeup.",来自英国的艾玛也同意这个观点，她提到自己的丈夫就喜欢她穿牛仔裤和T恤衫不化妆时的样子。
It will be replaced by a comedy about mothers and their daughters-in-law.,该剧将替换为一部关于母亲与其非亲生女儿的喜剧片。
And I was glad that you asked questions at the end.,我很高兴你们最后能提出问题
"The uniform-printed questionnaires were sent out, and in the uniform instruction, the subjects were required to independently finish the questionnaires, which were taken back on the spot.",发放统一印制的健康调查问卷，统一指导语，由被调查者独立完成，现场收回问卷。
"It's the heart, afraid of breading.",害怕跌碎的心永远学不会跳舞。
Conclusi on:The firing of ventral pallidal neurons is excited prominently from morphine in the morphine dependent rats. Ventral pallidum has an important role in drug reward.,结论：吗啡显著兴奋吗啡依赖大鼠腹侧苍白球神经元，腹侧苍白球在药物强化过程中起着重要作用。
Increased scalability for large-volume performance tests,对于大量性能测试的可伸缩性的增长
The 70-day 2012 torch relay begins on May 19th next year and wraps up on July 27th when the games' opening ceremony will be held.,为期70天的2012火炬传递活动将在明年5月19日开始，7月27日奥运会开幕式举行那天结束。
"Daniel saw PeiShangXuan finally said the truth, he decided to help them embrace get beauty return.",丹尼尔见裴尚轩终于说了实话，于是决定助其抱得美人归。
He will also join fellow former A-League players Adam Kwasnik (on loan) and Brendon Santalab at the Chengdu Sports Centre.,同他一起效力于该队（主场为成都体育中心）的还有前澳超球员亚当克瓦斯尼克（租借）和布兰登桑特拉布。
"Even as investors are reminded that the credit crunch is not yet history, the news on America's economy is mixed.",虽然投资者意识到次债危机还没成为历史，但美国的经济新闻是杂乱的。
Analysis of pipelines in transient mode; Safety evaluations of complex Fluid-Structure systems under accidental situations.,适合结构、流体系统在高速瞬态载荷作用下的非线性动力分析。
God is our refuge – a place in which to hide.,神是我们的避难所，换言之，神容让我们藏身在他里面。
"Environmental protection, harmful organic solvents are free and so does the curing agent.",绿色环保，绝对不含有机溶剂，固化剂中也不含有剂溶剂。
"Have a far vision. The farther your vision, the farther you could go.",记住：目光要深远。你的目光看多远你就能走多远。
